Placement,Accuracy,Loss
layer1.0.conv1, 45.09, 0.013311706435685475
layer1.0.conv2, 40.87, 0.012739186699632492
layer1.1.conv1, 45.35, 0.014397176201916188
layer1.1.conv2, 36.73, 0.017667369834392144
layer2.0.conv1, 48.12, 0.011752723344306083
layer2.0.conv2, 11.52, 0.022471896007199336
layer2.1.conv1, 51.62, 0.011432726400246392
layer2.1.conv2, 17.06, 0.023149476472428227
layer3.0.conv1, 20.65, 0.01717838624638502
layer3.0.conv2, 17.41, 0.018211094490904044
layer3.1.conv1, 43.39, 0.01389565087422576
layer3.1.conv2, 28.46, 0.01749350700158715
layer4.0.conv1, 26.75, 0.01609364385897796
layer4.0.conv2, 15.83, 0.034329280511511066
layer4.1.conv1, 17.28, 0.017492915328859063
layer4.1.conv2, 13.95, 0.07275433768438805
