Placement,Accuracy,Loss
layer1.0.conv1, 88.98, 0.002627399896165568 
layer1.0.conv2, 71.74, 0.007734766888047407 
layer1.1.conv1, 92.22, 0.0017375820595213396
layer1.1.conv2, 41.98, 0.020255974988023676
layer2.0.conv1, 85.69, 0.0032623402004738054
layer2.0.conv2, 22.51, 0.018267780256842423
layer2.1.conv1, 89.64, 0.0023185081322660704
layer2.1.conv2, 36.77, 0.020314923303569862 
layer3.0.conv1, 38.92, 0.013964943329017319 
layer3.0.conv2, 14.43, 0.018550794138879834
layer3.1.conv1, 91.50, 0.001991267114163873
layer3.1.conv2, 22.69, 0.01826995447010337
layer4.0.conv1, 75.75, 0.005623838811845122
layer4.0.conv2, 11.38, 0.026256443497663488
layer4.1.conv1, 25.87, 0.01582037645899607 
layer4.1.conv2, 11.68, 0.06973431495849244
